End Date,GBP/EUR,GBP/USD,GBP/CNY,GBP/JPY,GBP/AUD,MACD Copy
2000-01-03,1.6062,1.6168,13.3863,165.01,2.4603,-0.00055
2000-01-04,1.5962,1.6368,13.5521,166.18,2.4862,0.005
2000-01-05,1.5864,1.6355,13.5418,168.47,2.4958,0.0049
2000-01-06,1.5904,1.6413,13.5896,171.18,2.4915,-0.002
2000-01-07,1.597,1.6461,13.6295,173.6,2.5161,-0.0033
2000-01-08,1.5911,1.6379,13.5607,172.42,2.4987,0.00295
2000-01-09,1.5916,1.6391,13.5708,172.42,2.5005,-0.00025
2000-01-10,1.5921,1.6396,13.5749,172.42,2.5018,-0.00025
2000-01-11,1.5961,1.6362,13.5468,172.15,2.4914,-0.002
2000-01-12,1.5934,1.6477,13.6424,174.68,2.5032,0.00135
2000-01-13,1.5974,1.6473,13.6387,174.35,2.5,-0.002
2000-01-14,1.6043,1.646,13.6289,174.57,2.466,-0.00345
2000-01-15,1.6099,1.6343,13.5318,172.72,2.4529,-0.0028
2000-01-16,1.6129,1.635,13.5373,172.72,2.455,-0.0015
2000-01-17,1.6127,1.6349,13.5368,172.72,2.4549,0.0001
2000-01-18,1.6123,1.632,13.5116,170.76,2.4518,0.0002
2000-01-19,1.6147,1.637,13.5535,172.93,2.4565,-0.0012
2000-01-20,1.6229,1.6438,13.6098,173.05,2.4759,-0.0041
2000-01-21,1.6253,1.6541,13.695,174.13,2.4839,-0.0012
2000-01-22,1.6335,1.6488,13.6512,172.68,2.488,-0.0041
2000-01-23,1.6335,1.6488,13.6512,172.68,2.4839,0
2000-01-24,1.6335,1.6488,13.6512,172.68,2.4839,0
2000-01-25,1.6391,1.651,13.6685,174.37,2.5225,-0.0028
2000-01-26,1.6423,1.6445,13.6142,174.22,2.5072,-0.0016
2000-01-27,1.6371,1.6386,13.5645,173.27,2.5126,0.0026
2000-01-28,1.657,1.6385,13.5643,172.25,2.5023,-0.00995
2000-01-29,1.6572,1.619,13.4022,173.47,2.5476,-0.0001
2000-01-30,1.6578,1.619,13.4022,173.47,2.5476,-0.0003
2000-01-31,1.6581,1.6191,13.4031,173.47,2.5397,-0.00015
2000-02-01,1.6641,1.615,13.3686,173.45,2.5334,-0.003
2000-02-02,1.6603,1.6151,13.3684,174.08,2.5555,0.0019
2000-02-03,1.6458,1.6077,13.3072,173.86,2.519,0.00725
2000-02-04,1.612,1.5973,13.2234,171.8,2.5075,0.0169
2000-02-05,1.6171,1.591,13.1716,170.52,2.4976,-0.00255
2000-02-06,1.6215,1.591,13.1716,170.52,2.4957,-0.0022
2000-02-07,1.6225,1.5906,13.1679,170.52,2.4905,-0.0005
2000-02-08,1.6279,1.5967,13.2186,173.5,2.5181,-0.0027
2000-02-09,1.6331,1.6119,13.3444,176.37,2.5507,-0.0026
2000-02-10,1.6258,1.6166,13.3835,176.05,2.5468,0.00365
2000-02-11,1.6321,1.6084,13.316,175.57,2.5447,-0.00315
2000-02-12,1.6123,1.594,13.1964,173.23,2.5249,0.0099
2000-02-13,1.616,1.594,13.1958,173.23,2.5302,-0.00185
2000-02-14,1.6119,1.5932,13.1887,173.23,2.5337,0.00205
2000-02-15,1.6182,1.5868,13.1356,172.63,2.5299,-0.00315
2000-02-16,1.6201,1.5958,13.21,174.02,2.5377,-0.00095
2000-02-17,1.6292,1.6076,13.3069,175.78,2.5435,-0.00455
2000-02-18,1.6261,1.6078,13.3082,177.75,2.5426,0.00155
2000-02-19,1.6222,1.6016,13.2568,177.58,2.543,0.00195
2000-02-20,1.6273,1.6016,13.2568,177.58,2.543,-0.00255
2000-02-21,1.6273,1.602,13.2601,177.58,2.5489,0
2000-02-22,1.6197,1.5995,13.2394,177.85,2.5535,0.0038
2000-02-23,1.6068,1.6123,13.3459,178.65,2.583,0.00645
2000-02-24,1.5981,1.6033,13.2719,178.08,2.5843,0.00435
2000-02-25,1.6108,1.5999,13.2442,177.99,2.6009,-0.00635
2000-02-26,1.6359,1.5944,13.1994,175.5,2.5913,-0.01255
2000-02-27,1.6359,1.5944,13.1994,175.5,2.577,0
2000-02-28,1.6341,1.594,13.1962,175.5,2.5764,0.0009
2000-02-29,1.6404,1.5947,13.2023,174.35,2.595,-0.00315
2000-03-01,1.6349,1.5783,13.0664,173.87,2.5501,0.00275
2000-03-02,1.6284,1.5861,13.1308,169.85,2.6206,0.00325
2000-03-03,1.6316,1.576,13.0472,169.68,2.5976,-0.0016
2000-03-04,1.641,1.5765,13.0517,170.45,2.5906,-0.0047
2000-03-05,1.6412,1.5765,13.0517,170.45,2.5968,-0.0001
2000-03-06,1.6461,1.5772,13.0572,170.45,2.5922,-0.00245
2000-03-07,1.6393,1.5733,13.0247,169.1,2.6125,0.0034
2000-03-08,1.645,1.5792,13.0732,167.6,2.6085,-0.00285
2000-03-09,1.6437,1.5808,13.0871,169.37,2.5942,0.00065
2000-03-10,1.6355,1.581,13.0889,168.55,2.5663,0.0041
2000-03-11,1.6353,1.5752,13.0404,167.32,2.5617,0.0001
2000-03-12,1.6372,1.5785,13.0676,167.32,2.5671,-0.00095
2000-03-13,1.636,1.5766,13.052,167.32,2.5694,0.0006
